Date,Price
1/08/2025,"113,312.10"
31/07/2025,"115,765.00"
30/07/2025,"117,840.40"
29/07/2025,"117,950.10"
28/07/2025,"118,053.90"
27/07/2025,"119,398.10"
26/07/2025,"117,917.60"
25/07/2025,"117,631.90"
24/07/2025,"118,310.90"
23/07/2025,"118,763.00"
22/07/2025,"119,965.50"
21/07/2025,"117,388.10"
20/07/2025,"117,297.20"
19/07/2025,"117,848.40"
18/07/2025,"117,940.30"
17/07/2025,"119,194.90"
16/07/2025,"118,683.20"
15/07/2025,"117,762.30"
14/07/2025,"119,849.50"
13/07/2025,"119,090.60"
12/07/2025,"117,419.50"
11/07/2025,"117,535.60"
10/07/2025,"115,993.60"
9/07/2025,"111,246.00"
8/07/2025,"108,913.10"
7/07/2025,"108,269.60"
6/07/2025,"109,207.00"
5/07/2025,"108,204.70"
4/07/2025,"107,989.60"
3/07/2025,"109,600.50"
2/07/2025,"108,843.70"
1/07/2025,"105,694.30"
30/06/2025,"107,171.10"
29/06/2025,"108,361.10"
28/06/2025,"107,304.40"
27/06/2025,"107,044.20"
26/06/2025,"106,945.90"
25/06/2025,"107,349.40"
24/06/2025,"106,078.60"
23/06/2025,"105,376.90"
22/06/2025,"100,990.40"
21/06/2025,"102,113.20"
20/06/2025,"103,280.50"
19/06/2025,"104,669.60"
18/06/2025,"104,894.20"
17/06/2025,"104,559.80"
16/06/2025,"106,740.40"
15/06/2025,"105,591.80"
14/06/2025,"105,421.50"
13/06/2025,"106,080.30"
12/06/2025,"105,703.00"
11/06/2025,"108,661.20"
10/06/2025,"110,269.20"
9/06/2025,"110,268.30"
8/06/2025,"105,739.60"
7/06/2025,"105,564.20"
6/06/2025,"104,308.30"
5/06/2025,"101,521.90"
4/06/2025,"104,695.60"
3/06/2025,"105,388.30"
2/06/2025,"105,845.60"
1/06/2025,"105,635.20"
31/05/2025,"104,598.00"
30/05/2025,"103,981.30"
29/05/2025,"105,600.00"
28/05/2025,"107,786.70"
27/05/2025,"108,944.00"
26/05/2025,"109,455.30"
25/05/2025,"109,021.10"
24/05/2025,"107,763.00"
23/05/2025,"107,313.40"
22/05/2025,"111,702.70"
21/05/2025,"109,640.10"
20/05/2025,"106,815.80"
19/05/2025,"105,585.80"
18/05/2025,"106,504.50"
17/05/2025,"103,112.60"
16/05/2025,"103,480.50"
15/05/2025,"103,765.40"
14/05/2025,"103,513.90"
13/05/2025,"104,119.20"
12/05/2025,"102,795.00"
11/05/2025,"104,119.20"
10/05/2025,"104,798.00"
9/05/2025,"102,975.10"
8/05/2025,"103,274.30"
7/05/2025,"97,035.10"
6/05/2025,"96,825.40"
5/05/2025,"94,745.20"
4/05/2025,"94,316.90"
3/05/2025,"95,885.80"
2/05/2025,"96,894.40"
1/05/2025,"96,499.30"
30/04/2025,"94,184.40"
29/04/2025,"94,269.80"
28/04/2025,"94,995.00"
27/04/2025,"93,742.50"
26/04/2025,"94,631.40"
25/04/2025,"94,676.90"
24/04/2025,"93,980.30"
23/04/2025,"93,697.70"
22/04/2025,"93,441.90"
21/04/2025,"87,516.00"
20/04/2025,"85,179.00"
19/04/2025,"85,068.10"
18/04/2025,"84,474.60"
17/04/2025,"84,940.00"
16/04/2025,"84,032.20"
15/04/2025,"83,647.00"
14/04/2025,"84,586.40"
13/04/2025,"83,734.40"
12/04/2025,"85,292.70"
11/04/2025,"83,413.10"
10/04/2025,"79,607.50"
9/04/2025,"82,607.00"
8/04/2025,"76,312.50"
7/04/2025,"79,162.50"
6/04/2025,"78,391.30"
5/04/2025,"83,552.10"
4/04/2025,"83,866.70"
3/04/2025,"83,159.40"
2/04/2025,"82,525.00"
1/04/2025,"85,164.20"
31/03/2025,"82,548.80"
30/03/2025,"82,371.60"
29/03/2025,"82,645.70"
28/03/2025,"84,410.40"
27/03/2025,"87,228.20"
26/03/2025,"86,912.00"
25/03/2025,"87,404.00"
24/03/2025,"87,490.00"
23/03/2025,"86,077.40"
22/03/2025,"83,840.50"
21/03/2025,"84,073.30"
20/03/2025,"84,208.10"
19/03/2025,"86,841.00"
18/03/2025,"82,719.10"
17/03/2025,"84,019.10"
16/03/2025,"82,578.40"
15/03/2025,"84,341.30"
14/03/2025,"83,977.10"
13/03/2025,"81,100.20"
12/03/2025,"83,664.30"
11/03/2025,"82,921.10"
10/03/2025,"78,575.90"
9/03/2025,"80,691.60"
8/03/2025,"86,221.90"
7/03/2025,"86,531.20"
6/03/2025,"89,930.90"
5/03/2025,"90,611.70"
4/03/2025,"87,266.30"
3/03/2025,"86,209.70"
2/03/2025,"94,265.10"
1/03/2025,"86,071.60"
28/02/2025,"84,381.20"
27/02/2025,"84,714.60"
26/02/2025,"84,212.70"
25/02/2025,"88,686.00"
24/02/2025,"91,508.50"
23/02/2025,"96,258.80"
22/02/2025,"96,556.10"
21/02/2025,"96,155.60"
20/02/2025,"98,310.30"
19/02/2025,"96,644.80"
18/02/2025,"95,638.00"
17/02/2025,"95,781.30"
16/02/2025,"96,132.10"
15/02/2025,"97,573.40"
14/02/2025,"97,504.60"
13/02/2025,"96,610.20"
12/02/2025,"97,881.30"
11/02/2025,"95,771.70"
10/02/2025,"97,434.70"
9/02/2025,"96,469.20"
8/02/2025,"96,447.90"
7/02/2025,"96,513.50"
6/02/2025,"96,568.80"
5/02/2025,"96,595.30"
4/02/2025,"97,793.40"
3/02/2025,"101,337.10"
2/02/2025,"97,684.90"
1/02/2025,"100,648.00"
31/01/2025,"102,424.20"
30/01/2025,"104,726.90"
29/01/2025,"103,722.00"
28/01/2025,"101,349.30"
27/01/2025,"102,091.70"
26/01/2025,"102,637.80"
25/01/2025,"104,742.90"
24/01/2025,"104,862.30"
23/01/2025,"103,912.10"
22/01/2025,"103,684.80"
21/01/2025,"106,157.20"
20/01/2025,"102,197.70"
19/01/2025,"101,319.50"
18/01/2025,"104,536.90"
17/01/2025,"104,084.90"
16/01/2025,"100,004.50"
15/01/2025,"100,499.80"
14/01/2025,"96,542.10"
13/01/2025,"94,536.10"
12/01/2025,"94,541.80"
11/01/2025,"94,612.00"
10/01/2025,"94,724.10"
9/01/2025,"92,539.80"
8/01/2025,"95,066.60"
7/01/2025,"96,929.80"
6/01/2025,"102,248.70"
5/01/2025,"98,347.70"
4/01/2025,"98,219.90"
3/01/2025,"98,167.50"
2/01/2025,"96,960.00"
1/01/2025,"94,560.20"
31/12/2024,"93,557.20"
30/12/2024,"92,779.80"
29/12/2024,"93,716.30"
28/12/2024,"95,284.50"
27/12/2024,"94,275.90"
26/12/2024,"95,777.70"
25/12/2024,"99,391.30"
24/12/2024,"98,668.10"
23/12/2024,"94,852.10"
22/12/2024,"95,183.80"
21/12/2024,"97,253.30"
20/12/2024,"97,795.70"
19/12/2024,"97,466.10"
18/12/2024,"100,197.80"
17/12/2024,"106,138.90"
16/12/2024,"106,057.60"
15/12/2024,"104,443.00"
14/12/2024,"101,417.70"
13/12/2024,"101,426.20"
12/12/2024,"100,009.90"
11/12/2024,"101,126.20"
10/12/2024,"96,600.30"
9/12/2024,"97,359.40"
8/12/2024,"101,115.80"
7/12/2024,"99,837.00"
6/12/2024,"99,760.70"
5/12/2024,"96,970.80"
4/12/2024,"98,635.80"
3/12/2024,"95,898.70"
2/12/2024,"95,846.60"
1/12/2024,"97,201.40"
30/11/2024,"96,405.70"
29/11/2024,"97,438.00"
28/11/2024,"95,645.50"
27/11/2024,"95,886.60"
26/11/2024,"91,977.60"
25/11/2024,"93,064.40"
24/11/2024,"97,935.20"
23/11/2024,"97,699.00"
22/11/2024,"98,929.70"
21/11/2024,"98,374.50"
20/11/2024,"94,303.90"
19/11/2024,"92,239.20"
18/11/2024,"90,478.70"
17/11/2024,"89,833.70"
16/11/2024,"90,539.10"
15/11/2024,"91,046.50"
14/11/2024,"87,294.00"
13/11/2024,"90,422.20"
12/11/2024,"87,941.30"
11/11/2024,"88,664.10"
10/11/2024,"80,388.50"
9/11/2024,"76,700.30"
8/11/2024,"76,517.30"
7/11/2024,"75,868.60"
6/11/2024,"75,586.30"
5/11/2024,"69,373.70"
4/11/2024,"67,848.80"
3/11/2024,"68,769.60"
2/11/2024,"69,325.80"
1/11/2024,"69,507.20"
31/10/2024,"70,281.80"
30/10/2024,"72,347.80"
29/10/2024,"72,730.40"
28/10/2024,"69,954.10"
27/10/2024,"68,004.60"
26/10/2024,"67,086.80"
25/10/2024,"66,696.80"
24/10/2024,"68,191.50"
23/10/2024,"66,663.70"
22/10/2024,"67,427.30"
21/10/2024,"67,371.30"
20/10/2024,"69,030.50"
19/10/2024,"68,372.00"
18/10/2024,"68,423.10"
17/10/2024,"67,418.40"
16/10/2024,"67,617.90"
15/10/2024,"67,077.50"
14/10/2024,"66,081.70"
13/10/2024,"62,870.90"
12/10/2024,"63,205.10"
11/10/2024,"62,499.40"
10/10/2024,"60,316.20"
9/10/2024,"60,628.80"
8/10/2024,"62,157.00"
7/10/2024,"62,245.60"
6/10/2024,"62,819.40"
5/10/2024,"62,061.40"
4/10/2024,"62,081.00"
3/10/2024,"60,751.20"
2/10/2024,"60,645.70"
1/10/2024,"60,835.50"
30/09/2024,"63,339.20"
29/09/2024,"65,607.10"
28/09/2024,"65,866.50"
27/09/2024,"65,776.30"
26/09/2024,"65,175.70"
25/09/2024,"63,156.50"
24/09/2024,"64,256.80"
23/09/2024,"63,331.80"
22/09/2024,"63,572.70"
21/09/2024,"63,348.10"
20/09/2024,"63,201.20"
19/09/2024,"62,938.60"
18/09/2024,"61,757.60"
17/09/2024,"60,309.10"
16/09/2024,"58,213.10"
