Date,Price
1/08/2025,"6,238.01"
31/07/2025,"6,339.39"
30/07/2025,"6,362.90"
29/07/2025,"6,370.86"
28/07/2025,"6,389.77"
25/07/2025,"6,388.64"
24/07/2025,"6,363.35"
23/07/2025,"6,358.91"
22/07/2025,"6,309.62"
21/07/2025,"6,305.60"
18/07/2025,"6,296.79"
17/07/2025,"6,297.36"
16/07/2025,"6,263.70"
15/07/2025,"6,243.76"
14/07/2025,"6,268.56"
11/07/2025,"6,259.75"
10/07/2025,"6,280.46"
9/07/2025,"6,263.26"
8/07/2025,"6,225.52"
7/07/2025,"6,229.98"
3/07/2025,"6,279.35"
2/07/2025,"6,227.42"
1/07/2025,"6,198.01"
30/06/2025,"6,204.95"
27/06/2025,"6,173.07"
26/06/2025,"6,141.02"
25/06/2025,"6,092.16"
24/06/2025,"6,092.18"
23/06/2025,"6,025.17"
20/06/2025,"5,967.84"
18/06/2025,"5,980.87"
17/06/2025,"5,982.72"
16/06/2025,"6,033.11"
13/06/2025,"5,976.97"
12/06/2025,"6,045.26"
11/06/2025,"6,022.24"
10/06/2025,"6,038.81"
9/06/2025,"6,005.88"
6/06/2025,"6,000.36"
5/06/2025,"5,939.30"
4/06/2025,"5,970.81"
3/06/2025,"5,970.37"
2/06/2025,"5,935.94"
30/05/2025,"5,911.69"
29/05/2025,"5,912.17"
28/05/2025,"5,888.55"
27/05/2025,"5,921.54"
23/05/2025,"5,802.82"
22/05/2025,"5,842.01"
21/05/2025,"5,844.61"
20/05/2025,"5,940.46"
19/05/2025,"5,963.60"
16/05/2025,"5,958.38"
15/05/2025,"5,916.93"
14/05/2025,"5,892.58"
13/05/2025,"5,886.55"
12/05/2025,"5,844.19"
9/05/2025,"5,659.91"
8/05/2025,"5,663.94"
7/05/2025,"5,631.28"
6/05/2025,"5,606.91"
5/05/2025,"5,650.38"
2/05/2025,"5,686.67"
1/05/2025,"5,604.14"
30/04/2025,"5,569.06"
29/04/2025,"5,560.83"
28/04/2025,"5,528.75"
25/04/2025,"5,525.21"
24/04/2025,"5,484.77"
23/04/2025,"5,375.86"
22/04/2025,"5,287.76"
21/04/2025,"5,158.20"
17/04/2025,"5,282.70"
16/04/2025,"5,275.70"
15/04/2025,"5,396.63"
14/04/2025,"5,405.97"
11/04/2025,"5,363.36"
10/04/2025,"5,268.05"
9/04/2025,"5,456.90"
8/04/2025,"4,982.77"
7/04/2025,"5,062.25"
4/04/2025,"5,074.08"
3/04/2025,"5,396.52"
2/04/2025,"5,670.97"
1/04/2025,"5,633.07"
31/03/2025,"5,611.85"
28/03/2025,"5,580.94"
27/03/2025,"5,693.31"
26/03/2025,"5,712.20"
25/03/2025,"5,776.65"
24/03/2025,"5,767.57"
21/03/2025,"5,667.56"
20/03/2025,"5,662.89"
19/03/2025,"5,675.29"
18/03/2025,"5,614.66"
17/03/2025,"5,675.12"
14/03/2025,"5,638.94"
13/03/2025,"5,521.52"
12/03/2025,"5,599.30"
11/03/2025,"5,572.07"
10/03/2025,"5,614.56"
7/03/2025,"5,770.20"
6/03/2025,"5,738.52"
5/03/2025,"5,842.63"
4/03/2025,"5,778.15"
3/03/2025,"5,849.72"
28/02/2025,"5,954.50"
27/02/2025,"5,861.57"
26/02/2025,"5,956.06"
25/02/2025,"5,955.25"
24/02/2025,"5,983.25"
21/02/2025,"6,013.13"
20/02/2025,"6,117.52"
19/02/2025,"6,144.15"
18/02/2025,"6,129.58"
14/02/2025,"6,114.63"
13/02/2025,"6,115.07"
12/02/2025,"6,051.97"
11/02/2025,"6,068.50"
10/02/2025,"6,066.44"
7/02/2025,"6,025.99"
6/02/2025,"6,083.57"
5/02/2025,"6,061.48"
4/02/2025,"6,037.88"
3/02/2025,"5,994.57"
31/01/2025,"6,040.53"
30/01/2025,"6,071.17"
29/01/2025,"6,039.31"
28/01/2025,"6,067.70"
27/01/2025,"6,012.28"
24/01/2025,"6,101.24"
23/01/2025,"6,118.71"
22/01/2025,"6,086.37"
21/01/2025,"6,049.24"
17/01/2025,"5,996.66"
16/01/2025,"5,937.34"
15/01/2025,"5,949.91"
14/01/2025,"5,842.91"
13/01/2025,"5,836.22"
10/01/2025,"5,827.04"
8/01/2025,"5,918.25"
7/01/2025,"5,909.03"
6/01/2025,"5,975.38"
3/01/2025,"5,942.47"
2/01/2025,"5,868.55"
31/12/2024,"5,881.63"
30/12/2024,"5,906.94"
27/12/2024,"5,970.84"
26/12/2024,"6,037.59"
24/12/2024,"6,040.04"
23/12/2024,"5,974.07"
20/12/2024,"5,930.85"
19/12/2024,"5,867.08"
18/12/2024,"5,872.16"
17/12/2024,"6,050.61"
16/12/2024,"6,074.08"
13/12/2024,"6,051.09"
12/12/2024,"6,051.25"
11/12/2024,"6,084.19"
10/12/2024,"6,034.91"
9/12/2024,"6,052.85"
6/12/2024,"6,090.27"
5/12/2024,"6,075.11"
4/12/2024,"6,086.49"
3/12/2024,"6,049.88"
2/12/2024,"6,047.15"
29/11/2024,"6,032.38"
27/11/2024,"5,998.74"
26/11/2024,"6,021.63"
25/11/2024,"5,987.37"
22/11/2024,"5,969.34"
21/11/2024,"5,948.71"
20/11/2024,"5,917.11"
19/11/2024,"5,916.98"
18/11/2024,"5,893.62"
15/11/2024,"5,870.62"
14/11/2024,"5,949.17"
13/11/2024,"5,985.38"
12/11/2024,"5,983.99"
11/11/2024,"6,001.35"
8/11/2024,"5,995.54"
7/11/2024,"5,973.10"
6/11/2024,"5,929.04"
5/11/2024,"5,782.76"
4/11/2024,"5,712.69"
1/11/2024,"5,728.80"
31/10/2024,"5,705.45"
30/10/2024,"5,813.67"
29/10/2024,"5,832.92"
28/10/2024,"5,823.52"
25/10/2024,"5,808.12"
24/10/2024,"5,809.86"
23/10/2024,"5,797.42"
22/10/2024,"5,851.20"
21/10/2024,"5,853.98"
18/10/2024,"5,864.67"
17/10/2024,"5,841.47"
16/10/2024,"5,842.47"
15/10/2024,"5,815.26"
14/10/2024,"5,859.85"
11/10/2024,"5,815.03"
10/10/2024,"5,780.05"
9/10/2024,"5,792.04"
8/10/2024,"5,751.13"
7/10/2024,"5,695.94"
4/10/2024,"5,751.07"
3/10/2024,"5,699.94"
2/10/2024,"5,709.54"
1/10/2024,"5,708.75"
30/09/2024,"5,762.48"
27/09/2024,"5,738.17"
26/09/2024,"5,745.37"
25/09/2024,"5,722.26"
24/09/2024,"5,732.93"
23/09/2024,"5,718.57"
20/09/2024,"5,702.55"
19/09/2024,"5,713.64"
18/09/2024,"5,618.26"
17/09/2024,"5,634.58"
16/09/2024,"5,633.09"
13/09/2024,"5,626.02"
12/09/2024,"5,595.76"
11/09/2024,"5,554.13"
10/09/2024,"5,495.52"
9/09/2024,"5,471.05"
6/09/2024,"5,408.42"
5/09/2024,"5,503.41"
4/09/2024,"5,520.07"
3/09/2024,"5,528.93"
30/08/2024,"5,648.40"
29/08/2024,"5,591.96"
28/08/2024,"5,592.18"
27/08/2024,"5,625.80"
26/08/2024,"5,616.84"
23/08/2024,"5,634.61"
22/08/2024,"5,570.64"
21/08/2024,"5,620.85"
20/08/2024,"5,597.12"
19/08/2024,"5,608.25"
16/08/2024,"5,554.25"
15/08/2024,"5,543.22"
14/08/2024,"5,455.21"
13/08/2024,"5,434.43"
12/08/2024,"5,344.39"
9/08/2024,"5,344.16"
8/08/2024,"5,319.31"
7/08/2024,"5,199.50"
6/08/2024,"5,240.03"
5/08/2024,"5,186.33"
2/08/2024,"5,346.56"
1/08/2024,"5,446.68"
31/07/2024,"5,522.30"
30/07/2024,"5,436.44"
29/07/2024,"5,463.54"
26/07/2024,"5,459.10"
25/07/2024,"5,399.22"
24/07/2024,"5,427.13"
23/07/2024,"5,555.74"
22/07/2024,"5,564.41"
19/07/2024,"5,505.00"
18/07/2024,"5,544.59"
17/07/2024,"5,588.27"
16/07/2024,"5,667.20"
15/07/2024,"5,631.22"
12/07/2024,"5,615.35"
11/07/2024,"5,584.54"
10/07/2024,"5,633.91"
9/07/2024,"5,576.98"
8/07/2024,"5,572.85"
5/07/2024,"5,567.19"
3/07/2024,"5,537.02"
2/07/2024,"5,509.01"
1/07/2024,"5,475.09"
28/06/2024,"5,460.48"
27/06/2024,"5,482.87"
26/06/2024,"5,477.90"
25/06/2024,"5,469.30"
24/06/2024,"5,447.87"
21/06/2024,"5,464.62"
20/06/2024,"5,473.17"
18/06/2024,"5,487.03"
17/06/2024,"5,473.23"
14/06/2024,"5,431.60"
13/06/2024,"5,433.74"
12/06/2024,"5,421.03"
11/06/2024,"5,375.32"
10/06/2024,"5,360.79"
7/06/2024,"5,346.99"
6/06/2024,"5,352.96"
5/06/2024,"5,354.03"
4/06/2024,"5,291.34"
3/06/2024,"5,283.40"
31/05/2024,"5,277.51"
30/05/2024,"5,235.48"
29/05/2024,"5,266.95"
28/05/2024,"5,306.04"
24/05/2024,"5,304.72"
23/05/2024,"5,267.84"
22/05/2024,"5,307.01"
21/05/2024,"5,321.41"
20/05/2024,"5,308.13"
17/05/2024,"5,303.27"
16/05/2024,"5,297.10"
15/05/2024,"5,308.15"
14/05/2024,"5,246.68"
13/05/2024,"5,221.42"
10/05/2024,"5,222.68"
9/05/2024,"5,214.08"
8/05/2024,"5,187.67"
7/05/2024,"5,187.70"
6/05/2024,"5,180.74"
3/05/2024,"5,127.79"
2/05/2024,"5,064.20"
1/05/2024,"5,018.39"
30/04/2024,"5,035.69"
29/04/2024,"5,116.17"
26/04/2024,"5,099.96"
25/04/2024,"5,048.42"
24/04/2024,"5,071.63"
23/04/2024,"5,070.55"
22/04/2024,"5,010.60"
19/04/2024,"4,967.23"
18/04/2024,"5,011.12"
17/04/2024,"5,022.21"
16/04/2024,"5,051.41"
15/04/2024,"5,061.82"
12/04/2024,"5,123.41"
11/04/2024,"5,199.06"
10/04/2024,"5,160.64"
9/04/2024,"5,209.91"
8/04/2024,"5,202.39"
5/04/2024,"5,204.34"
4/04/2024,"5,147.21"
3/04/2024,"5,211.49"
2/04/2024,"5,205.81"
1/04/2024,"5,243.77"
28/03/2024,"5,254.35"
27/03/2024,"5,248.49"
26/03/2024,"5,203.58"
25/03/2024,"5,218.19"
22/03/2024,"5,234.18"
21/03/2024,"5,241.53"
20/03/2024,"5,224.62"
19/03/2024,"5,178.51"
18/03/2024,"5,149.42"
15/03/2024,"5,117.09"
14/03/2024,"5,150.48"
13/03/2024,"5,165.31"
12/03/2024,"5,175.27"
11/03/2024,"5,117.94"
8/03/2024,"5,123.69"
7/03/2024,"5,157.36"
6/03/2024,"5,104.76"
5/03/2024,"5,078.65"
4/03/2024,"5,130.95"
1/03/2024,"5,137.08"
29/02/2024,"5,096.27"
28/02/2024,"5,069.76"
27/02/2024,"5,078.18"
26/02/2024,"5,069.53"
23/02/2024,"5,088.80"
22/02/2024,"5,087.03"
21/02/2024,"4,981.80"
20/02/2024,"4,975.51"
16/02/2024,"5,005.57"
15/02/2024,"5,029.73"
14/02/2024,"5,000.62"
13/02/2024,"4,953.17"
12/02/2024,"5,021.84"
9/02/2024,"5,026.61"
8/02/2024,"4,997.91"
7/02/2024,"4,995.06"
6/02/2024,"4,954.23"
5/02/2024,"4,942.81"
2/02/2024,"4,958.61"
1/02/2024,"4,906.19"
31/01/2024,"4,845.65"
30/01/2024,"4,924.97"
29/01/2024,"4,927.93"
26/01/2024,"4,890.97"
25/01/2024,"4,894.16"
24/01/2024,"4,868.55"
23/01/2024,"4,864.60"
22/01/2024,"4,850.43"
19/01/2024,"4,839.81"
18/01/2024,"4,780.94"
17/01/2024,"4,739.21"
16/01/2024,"4,765.98"
12/01/2024,"4,783.83"
11/01/2024,"4,780.24"
10/01/2024,"4,783.45"
9/01/2024,"4,756.50"
8/01/2024,"4,763.54"
5/01/2024,"4,697.24"
4/01/2024,"4,688.68"
3/01/2024,"4,704.81"
2/01/2024,"4,742.83"
29/12/2023,"4,769.83"
28/12/2023,"4,783.35"
27/12/2023,"4,781.58"
26/12/2023,"4,774.75"
22/12/2023,"4,754.63"
21/12/2023,"4,746.75"
20/12/2023,"4,698.35"
19/12/2023,"4,768.37"
18/12/2023,"4,740.56"
15/12/2023,"4,719.19"
14/12/2023,"4,719.55"
13/12/2023,"4,707.09"
12/12/2023,"4,643.70"
11/12/2023,"4,622.44"
8/12/2023,"4,604.37"
7/12/2023,"4,585.59"
6/12/2023,"4,549.34"
5/12/2023,"4,567.18"
4/12/2023,"4,569.78"
1/12/2023,"4,594.63"
30/11/2023,"4,567.80"
29/11/2023,"4,550.58"
28/11/2023,"4,554.89"
27/11/2023,"4,550.43"
24/11/2023,"4,559.34"
22/11/2023,"4,556.62"
21/11/2023,"4,538.19"
20/11/2023,"4,547.38"
17/11/2023,"4,514.02"
16/11/2023,"4,508.24"
15/11/2023,"4,502.88"
14/11/2023,"4,495.70"
13/11/2023,"4,411.55"
10/11/2023,"4,415.24"
9/11/2023,"4,347.35"
8/11/2023,"4,382.78"
7/11/2023,"4,378.38"
6/11/2023,"4,365.98"
3/11/2023,"4,358.34"
2/11/2023,"4,317.78"
1/11/2023,"4,237.86"
31/10/2023,"4,193.80"
30/10/2023,"4,166.82"
27/10/2023,"4,117.37"
26/10/2023,"4,137.23"
25/10/2023,"4,186.77"
24/10/2023,"4,247.68"
23/10/2023,"4,217.04"
20/10/2023,"4,224.16"
19/10/2023,"4,278.00"
18/10/2023,"4,314.60"
17/10/2023,"4,373.20"
16/10/2023,"4,373.63"
13/10/2023,"4,327.78"
12/10/2023,"4,349.61"
11/10/2023,"4,376.95"
10/10/2023,"4,358.24"
9/10/2023,"4,335.66"
6/10/2023,"4,308.50"
5/10/2023,"4,258.19"
4/10/2023,"4,263.75"
3/10/2023,"4,229.45"
2/10/2023,"4,288.39"
29/09/2023,"4,288.05"
28/09/2023,"4,299.70"
27/09/2023,"4,274.51"
26/09/2023,"4,273.53"
25/09/2023,"4,337.44"
22/09/2023,"4,320.06"
21/09/2023,"4,330.00"
20/09/2023,"4,402.20"
19/09/2023,"4,443.95"
18/09/2023,"4,453.53"
15/09/2023,"4,450.32"
14/09/2023,"4,505.10"
13/09/2023,"4,467.44"
12/09/2023,"4,461.90"
11/09/2023,"4,487.46"
8/09/2023,"4,457.49"
7/09/2023,"4,451.14"
6/09/2023,"4,465.48"
5/09/2023,"4,496.83"
1/09/2023,"4,515.77"
31/08/2023,"4,507.66"
30/08/2023,"4,514.87"
29/08/2023,"4,497.63"
28/08/2023,"4,433.31"
25/08/2023,"4,405.71"
24/08/2023,"4,376.31"
23/08/2023,"4,436.01"
22/08/2023,"4,387.55"
21/08/2023,"4,399.77"
18/08/2023,"4,369.71"
17/08/2023,"4,370.36"
16/08/2023,"4,404.33"
15/08/2023,"4,437.86"
14/08/2023,"4,489.72"
11/08/2023,"4,464.05"
10/08/2023,"4,468.83"
9/08/2023,"4,467.71"
8/08/2023,"4,499.38"
7/08/2023,"4,518.44"
4/08/2023,"4,478.03"
3/08/2023,"4,501.89"
2/08/2023,"4,513.39"
1/08/2023,"4,576.73"
31/07/2023,"4,588.96"
28/07/2023,"4,582.23"
27/07/2023,"4,537.41"
26/07/2023,"4,566.75"
25/07/2023,"4,567.46"
24/07/2023,"4,554.64"
21/07/2023,"4,536.34"
20/07/2023,"4,534.87"
19/07/2023,"4,565.72"
18/07/2023,"4,554.98"
17/07/2023,"4,522.79"
14/07/2023,"4,505.42"
13/07/2023,"4,510.04"
12/07/2023,"4,472.16"
11/07/2023,"4,439.26"
10/07/2023,"4,409.53"
7/07/2023,"4,398.95"
6/07/2023,"4,411.59"
5/07/2023,"4,446.82"
3/07/2023,"4,455.59"
30/06/2023,"4,450.38"
29/06/2023,"4,396.44"
28/06/2023,"4,376.86"
27/06/2023,"4,378.41"
26/06/2023,"4,328.82"
23/06/2023,"4,348.33"
22/06/2023,"4,381.89"
21/06/2023,"4,365.69"
20/06/2023,"4,388.71"
16/06/2023,"4,409.59"
15/06/2023,"4,425.84"
14/06/2023,"4,372.59"
13/06/2023,"4,369.01"
12/06/2023,"4,338.93"
9/06/2023,"4,298.86"
8/06/2023,"4,293.93"
7/06/2023,"4,267.52"
6/06/2023,"4,283.85"
5/06/2023,"4,273.79"
2/06/2023,"4,282.37"
1/06/2023,"4,221.02"
31/05/2023,"4,179.83"
30/05/2023,"4,205.52"
26/05/2023,"4,205.45"
25/05/2023,"4,151.28"
24/05/2023,"4,115.24"
23/05/2023,"4,145.58"
22/05/2023,"4,192.63"
19/05/2023,"4,191.98"
18/05/2023,"4,198.05"
17/05/2023,"4,158.77"
16/05/2023,"4,109.90"
15/05/2023,"4,136.28"
12/05/2023,"4,124.08"
11/05/2023,"4,130.62"
10/05/2023,"4,137.64"
9/05/2023,"4,119.17"
8/05/2023,"4,138.12"
5/05/2023,"4,136.25"
4/05/2023,"4,061.22"
3/05/2023,"4,090.75"
2/05/2023,"4,119.58"
1/05/2023,"4,167.87"
